channel_id,label,identity_review_status,event_type,event_date,source_url,source_title,review_reason,review_priority,needed_evidence
UCAoZkJiB43mNUD6aadeozRw,Asatsuyu Ch.,VERIFIED,identity_start,2021-11-21T13:04:04+00:00,https://www.youtube.com/watch?v=I6FtZ6MaTWA,【🔴LIVE Debut】ยินดีต้อนรับสู่ Husky Cafe ของ Asatsuyu !!,"Description explicitly lists debut start, story introduction and singing chapters with 21 November 2021 schedule.",HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCRaAduo6w37DoPahoaiVbTg,Chana チャナ,VERIFIED,identity_start,2022-03-22T12:55:43+00:00,https://www.youtube.com/watch?v=wBk1q4rscRo,[ LIVE DEBUT! ] ชาน่า พร้อมเจอกับทุกคนแล้วค่ะ มารู้จักกันเยอะๆ นะ!!,Description explicitly says first meeting and introduces Chana with matching public profiles.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UC6TOqqD-TLbPlnV5i3DiIrw,NEMI,VERIFIED,identity_start,2021-08-14T11:01:59+00:00,https://www.youtube.com/watch?v=bmgshvq3eNc,[ LIVE DEBUT! ] ยินดีที่ได้รู้จักนะคะ~💙,Description explicitly identifies this as NEMI debut live and links her profile.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCqu5twYqzKGrRyIrcvg4YXA,Rainnie Rgrada Ch.,VERIFIED,model_change,2022-02-02T11:06:09+00:00,https://www.youtube.com/watch?v=CFFnCASheXs,🔴LIVE DEBUT ☄️RAINNIE V2 👾 R U READY?,"Description explicitly announces a new body and 2022 plans: model change, not first identity.",HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCpBjGiBLFJ8x-7kHDtPY74g,SE1 Ch.,VERIFIED,identity_start,2020-12-29T06:30:16+00:00,https://www.youtube.com/watch?v=70bc0-TMHhU,【First Live Debut】ไลฟ์เปิดตัวครั้งแรก ลองมาทำความรู้จักกันหน่อยนะ,First-live title and first-time description identify Seiki; use actual broadcast timestamp.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCYWG9ZKz94VcpEqvvhBXk0A,Tora Mochizuki ,VERIFIED,identity_start,2021-10-03T14:33:01+00:00,https://www.youtube.com/watch?v=QbCLz6jGR8c,"【LIVE🔴】Welcome miss , mister - Debut !",Description thanks viewers for the opening stream and gives 3 October 2021; actual stream timestamp is retained.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCcPlWQeuFutZ8VllrN_O2YA,Ume Ch. しのはな❀梅,VERIFIED,identity_start,2021-07-03T05:00:12+00:00,https://www.youtube.com/watch?v=jjcnTaOXqFc,[DEBUT] เดบิวต์ Shinohana ume - ทำอย่างกะพี่เหลืองเป็นผี =w=,Ume description explicitly says first opening day and starting from zero in this field.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UCXtQTtPJedfjqEPysorbsMg,久檻夜くぅ / Qualia Qu Ch.,VERIFIED,identity_start,2020-07-01T11:00:01+00:00,https://www.youtube.com/watch?v=BR5l9mgxNpc,【Live Streaming】久檻夜くぅ / 初配信！【Jp/Eng/Th OK! 】,Owner introduces Qualia and explicitly thanks viewers for her first stream in three languages.,HIGH,channel-level virtual presentation/self-description or reviewed role evidence
UC-KdQvTPC9k3pLjy4Y1PBkg,Aventurine Ch,SUPPORTED,identity_start,2022-04-29T14:05:37+00:00,https://www.youtube.com/watch?v=XOf0DC9c9xE,❈ DEBUT STREAM ❈ โรงเตี้ยมที่มีเจ้าของเป็นเทพี รึเปล่านะ ?,"Aventurine named debut has own profile, distinct from linked colleagues.",NORMAL,channel-level virtual presentation/self-description or reviewed role evidence
UCVEL1jAgCQNQcRN9Ble6lMw,Chaos Ch.,SUPPORTED,identity_start,2022-09-25T12:30:49+00:00,https://www.youtube.com/watch?v=6MiHlpMYKqA,【DEBUT STREAM】Chaos is here | Chaos,Named Chaos debut source contains own stream context; no proof of earlier continuity.,NORMAL,channel-level virtual presentation/self-description or reviewed role evidence
